G1G48-2724-MONOMER	G1G48-2724	Q5LQ18	hypothetical protein	
G1G48-429-MONOMER	G1G48-429	Q5LWC0	2-isopropylmalate synthase	
G1G48-3698-MONOMER	G1G48-3698	Q5LMC2	multidrug ABC transporter ATP-binding protein	
G1G48-46-MONOMER	G1G48-46	Q5LWJ3	thiamine biosynthesis protein ThiO	
G1G48-3335-MONOMER	G1G48-3335		hypothetical protein	
G1G48-4260-MONOMER	G1G48-4260	Q5LKU1	acyl-CoA dehydrogenase	
G1G48-3384-MONOMER	G1G48-3384	Q5LN80	succinyl-diaminopimelate desuccinylase	
G1G48-455-MONOMER	G1G48-455	Q5LW94	sulfurase	
G1G48-3310-MONOMER	G1G48-3310	Q5LNE5	methyltransferase-like protein	
G1G48-2138-MONOMER	G1G48-2138	Q5LRM5	diacylglycerol kinase	
G1G48-3946-MONOMER	G1G48-3946	Q5LLN8	DNA mismatch repair protein MutS	
G1G48-2839-MONOMER	G1G48-2839	Q5LPQ9	thermonuclease	
G1G48-4041-MONOMER	G1G48-4041	Q5LLE4	DUF4365 domain-containing protein	
G1G48-4025-MONOMER	G1G48-4025		amino acid transporter	
G1G48-4325-MONOMER	G1G48-4325	Q5LKN3	transcriptional regulator	
G1G48-875-MONOMER	G1G48-875		oxidoreductase	
G1G48-1599-MONOMER	G1G48-1599	Q5LT47	aminotransferase	
G1G48-1170-MONOMER	G1G48-1170	Q5LUA4	hypothetical protein	
G1G48-4244-MONOMER	G1G48-4244	V5XJ79	hypothetical protein	
G1G48-245-MONOMER	G1G48-245		ABC transporter substrate-binding protein	
G1G48-3177-MONOMER	G1G48-3177		primosomal protein N'	
G1G48-1732-MONOMER	G1G48-1732	Q5LSR3	CoA transferase	
G1G48-1228-MONOMER	G1G48-1228	Q5LU51	DNA repair protein RecN	
G1G48-993-MONOMER	G1G48-993		membrane protein	
G1G48-2220-MONOMER	G1G48-2220	Q5LRE8	ABC transporter permease	
G1G48-2567-MONOMER	G1G48-2567	Q5LQG6	aminoacyl-tRNA deacylase	
G1G48-1568-MONOMER	G1G48-1568	Q5LT78	colanic acid biosynthesis glycosyltransferase WcaL	
G1G48-2132-MONOMER	G1G48-2132	Q5LRN1	ACT domain-containing protein	
G1G48-1289-MONOMER	G1G48-1289	Q5LTZ9	MarR family transcriptional regulator	
G1G48-3382-MONOMER	G1G48-3382	Q5LN82	ribonuclease R	
G1G48-3148-MONOMER	G1G48-3148	Q5LNV5	DNA ligase-associated DEXH box helicase	
G1G48-4151-MONOMER	G1G48-4151	Q5LL48	FNT family protein	
G1G48-1911-MONOMER	G1G48-1911	Q5LS93	glutamate racemase	
G1G48-3217-MONOMER	G1G48-3217	Q5LNN6	hypothetical protein	
G1G48-2678-MONOMER	G1G48-2678	Q5LQ63	hypothetical protein	
G1G48-477-MONOMER	G1G48-477	Q5LW71	carbon-phosphorus lyase complex subunit PhnJ	
G1G48-4411-MONOMER	G1G48-4411	Q5LKE7	3-oxoadipate enol-lactonase	
G1G48-3636-MONOMER	G1G48-3636	Q5LMI3	isochorismatase	
G1G48-995-MONOMER	G1G48-995	Q5LUR7	Fur family transcriptional regulator	
G1G48-3178-MONOMER	G1G48-3178	Q5LNS5	transaldolase	
G1G48-3173-MONOMER	G1G48-3173	Q5LNT0	lipocalin	
G1G48-3057-MONOMER	G1G48-3057		hypothetical protein	
G1G48-1812-MONOMER	G1G48-1812	Q5LSJ2	pyridine nucleotide-disulfide oxidoreductase	
G1G48-2481-MONOMER	G1G48-2481	Q5LQQ0	restriction endonuclease subunit S	
G1G48-2222-MONOMER	G1G48-2222	Q5LRE6	hypothetical protein	
G1G48-521-MONOMER	G1G48-521	Q5LW29	serine protease	
G1G48-3338-MONOMER	G1G48-3338		iron ABC transporter permease	
G1G48-83-MONOMER	G1G48-83	Q5LWM9	arabinose-5-phosphate isomerase	
G1G48-1516-MONOMER	G1G48-1516		sodium:galactoside symporter	
G1G48-3095-MONOMER	G1G48-3095	Q5LP07	glutamine amidotransferase	
G1G48-2733-MONOMER	G1G48-2733	Q5LQ09	protein-L-isoaspartate O-methyltransferase	
G1G48-548-MONOMER	G1G48-548	Q5LW02	sensor histidine kinase	
G1G48-2247-MONOMER	G1G48-2247		carboxylate-amine ligase	
G1G48-4277-MONOMER	G1G48-4277	Q5LKS5	chromosome partitioning protein ParA	
G1G48-498-MONOMER	G1G48-498	V5UYV7	hypothetical protein	
G1G48-967-MONOMER	G1G48-967	Q5LUU2	MerR family transcriptional regulator	
G1G48-2120-MONOMER	G1G48-2120	Q5LRP3	potassium transporter TrkH	
G1G48-3535-MONOMER	G1G48-3535	Q5LMT1	MFS transporter	
G1G48-1725-MONOMER	G1G48-1725	Q5LSS0	5-oxoprolinase	
G1G48-3290-MONOMER	G1G48-3290	Q5LNG5	LysR family transcriptional regulator	
G1G48-1799-MONOMER	G1G48-1799		hypothetical protein	
G1G48-2619-MONOMER	G1G48-2619		histidine kinase	
G1G48-1478-MONOMER	G1G48-1478		short-chain dehydrogenase	
G1G48-862-MONOMER	G1G48-862	Q5LV50	oxidoreductase	
G1G48-4069-MONOMER	G1G48-4069	Q5LLC6	helix-turn-helix transcriptional regulator	
G1G48-2936-MONOMER	G1G48-2936	Q5LPG1	tetratricopeptide repeat protein 38 family protein	
G1G48-2265-MONOMER	G1G48-2265	Q5LRA3	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	
G1G48-1327-MONOMER	G1G48-1327	Q5LTW3	LysR family transcriptional regulator	
G1G48-974-MONOMER	G1G48-974	Q5LUT5	phosphate transporter family protein	
G1G48-917-MONOMER	G1G48-917	Q5LUZ5	ATP synthase subunit beta	
G1G48-3054-MONOMER	G1G48-3054		ABC transporter	
G1G48-3797-MONOMER	G1G48-3797	Q5LM26	DNA methyltransferase	
G1G48-2392-MONOMER	G1G48-2392		hypothetical protein	
G1G48-2998-MONOMER	G1G48-2998	Q5LP98	hypothetical protein	
CPLX1G48-40			predicted ABC transporter of a C4-dicarboxylate	
G1G48-4388-MONOMER	G1G48-4388		hypothetical protein	
G1G48-1987-MONOMER	G1G48-1987		phosphate ABC transporter permease subunit PstC	
G1G48-4415-MONOMER	G1G48-4415	Q5LKE3	peptidylprolyl isomerase	
G1G48-3594-MONOMER	G1G48-3594		prephenate dehydratase	
G1G48-4326-MONOMER	G1G48-4326		EamA family transporter	
G1G48-3812-MONOMER	G1G48-3812		7-carboxy-7-deazaguanine synthase QueE	
G1G48-4393-MONOMER	G1G48-4393	Q5LKG5	hypothetical protein	
G1G48-3996-MONOMER	G1G48-3996	Q5LLJ8	hypothetical protein	
G1G48-3625-MONOMER	G1G48-3625	Q5LMJ4	recombination protein RecR	
G1G48-2382-MONOMER	G1G48-2382		hypothetical protein	
G1G48-2125-MONOMER	G1G48-2125	Q5LRN8	nitrogen regulation protein NR(I)	
G1G48-101-MONOMER	G1G48-101	Q5LWP7	peptide ABC transporter	
G1G48-432-MONOMER	G1G48-432	Q5LWB7	2-isopropylmalate synthase	
G1G48-1770-MONOMER	G1G48-1770	Q5LSN3	homoserine dehydrogenase	
G1G48-2508-MONOMER	G1G48-2508	Q5LQM3	transcriptional regulator	
G1G48-4208-MONOMER	G1G48-4208	Q5LKZ2	C4-dicarboxylate ABC transporter	
G1G48-3506-MONOMER	G1G48-3506		hypothetical protein	
G1G48-2970-MONOMER	G1G48-2970	Q5LPC6	hypothetical protein	
G1G48-3190-MONOMER	G1G48-3190		TIGR01620 family protein	
G1G48-2224-MONOMER	G1G48-2224	Q5LRE4	C4-dicarboxylate ABC transporter	
G1G48-4132-MONOMER	G1G48-4132	Q5LL66	TRAP transporter permease DctQ	
G1G48-1784-MONOMER	G1G48-1784	Q5LSL9	hypothetical protein	
G1G48-2449-MONOMER	G1G48-2449		hypothetical protein	
G1G48-897-MONOMER	G1G48-897	Q5LV15	molecular chaperone GroEL	
G1G48-1670-MONOMER	G1G48-1670	Q5LSX6	lytic transglycosylase	
G1G48-1768-MONOMER	G1G48-1768		single-stranded-DNA-specific exonuclease RecJ	
G1G48-2795-MONOMER	G1G48-2795	Q5LPV4	hypothetical protein	
G1G48-3268-MONOMER	G1G48-3268	Q5LNI6	N-formylmethionyl-tRNA deformylase	
G1G48-3679-MONOMER	G1G48-3679	Q5LME0	TIGR02300 family protein	
G1G48-258-MONOMER	G1G48-258	Q5LX36	branched-chain amino acid aminotransferase	
G1G48-507-MONOMER	G1G48-507	Q5LW43	50S ribosomal protein L6	
G1G48-3557-MONOMER	G1G48-3557		hypothetical protein	
G1G48-2346-MONOMER	G1G48-2346	Q5LR22	lauroyl acyltransferase	
G1G48-614-MONOMER	G1G48-614	Q5LVT9	hypothetical protein	
G1G48-3646-MONOMER	G1G48-3646	Q5LMH3	rod shape-determining protein RodA	
G1G48-1067-MONOMER	G1G48-1067	Q5LUK3	hypothetical protein	
G1G48-2669-MONOMER	G1G48-2669	Q5LQ72	AsnC family transcriptional regulator	
G1G48-3801-MONOMER	G1G48-3801	Q5LM22	glutathione peroxidase	
G1G48-2494-MONOMER	G1G48-2494	Q5LQN7	1-acyl-sn-glycerol-3-phosphate acyltransferase	
G1G48-2114-MONOMER	G1G48-2114	Q5LRP9	porphobilinogen synthase	
G1G48-2344-MONOMER	G1G48-2344	Q5LR24	flagellar motor switch protein FliG	
G1G48-1045-MONOMER	G1G48-1045	Q5LUL8	integrase	
G1G48-1529-MONOMER	G1G48-1529	Q5LTB6	fumarate hydratase	
G1G48-2825-MONOMER	G1G48-2825		hypothetical protein	
G1G48-1759-MONOMER	G1G48-1759	Q5LSP2	mannonate dehydratase	
G1G48-689-MONOMER	G1G48-689	Q5LVM1	maleylacetoacetate isomerase	
G1G48-2731-MONOMER	G1G48-2731	Q5LQ11	transcriptional regulator	
G1G48-3257-MONOMER	G1G48-3257	Q5LNJ7	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	
G1G48-3599-MONOMER	G1G48-3599	Q5LMM0	hypothetical protein	
G1G48-2201-MONOMER	G1G48-2201	Q5LRG5	glutathione S-transferase	
G1G48-2989-MONOMER	G1G48-2989	Q5LPA7	membrane protein	
G1G48-272-MONOMER	G1G48-272	Q5LX60	chorismate synthase	
G1G48-4369-MONOMER	G1G48-4369	Q5LKJ0	cyclic nucleotide-binding protein	
G1G48-2141-MONOMER	G1G48-2141	Q5LRM2	peroxiredoxin	
G1G48-2302-MONOMER	G1G48-2302	Q5LR66	portal protein	
G1G48-339-MONOMER	G1G48-339	Q5LXC0	argininosuccinate lyase	
G1G48-3324-MONOMER	G1G48-3324	Q5LND7	hypothetical protein	
G1G48-2959-MONOMER	G1G48-2959	Q5LPD8	thioesterase	
G1G48-599-MONOMER	G1G48-599	Q5LVV4	C4-dicarboxylate ABC transporter	
G1G48-3329-MONOMER	G1G48-3329	Q5LND2	DNA mismatch repair protein MutT	
G1G48-775-MONOMER	G1G48-775	Q5LVD7	glutamine synthetase	
G1G48-2650-MONOMER	G1G48-2650	Q5LQ90	C4-dicarboxylate ABC transporter	
G1G48-1781-MONOMER	G1G48-1781	Q5LSM2	sarcosine oxidase subunit delta	
G1G48-3898-MONOMER	G1G48-3898	Q5LLT3	hypothetical protein	
G1G48-2671-MONOMER	G1G48-2671	Q5LQ70	C4-dicarboxylate ABC transporter permease	
G1G48-4010-MONOMER	G1G48-4010	Q5LLH4	nitrous oxide maturation protein NosY	
G1G48-3937-MONOMER	G1G48-3937	Q5LLP6	hypothetical protein	
G1G48-677-MONOMER	G1G48-677	Q5LVN3	histidine--tRNA ligase	
G1G48-4070-MONOMER	G1G48-4070		DUF4440 domain-containing protein	
G1G48-1815-MONOMER	G1G48-1815	Q5LSI9	MFS transporter	
G1G48-2777-MONOMER	G1G48-2777	Q5LPW9	peptidase	
G1G48-873-MONOMER	G1G48-873		ABC transporter ATP-binding protein	
G1G48-2401-MONOMER	G1G48-2401	Q5LQX2	hybrid sensor histidine kinase/response regulator	
G1G48-4327-MONOMER	G1G48-4327	Q5LKN1	hypothetical protein	
G1G48-3434-MONOMER	G1G48-3434	Q5LN30	aldehyde dehydrogenase family protein	
G1G48-1979-MONOMER	G1G48-1979		AraC family transcriptional regulator	
G1G48-3610-MONOMER	G1G48-3610	Q5LMK9	hypothetical protein	
G1G48-3872-MONOMER	G1G48-3872	Q5LLV9	peptidase S41	
G1G48-2601-MONOMER	G1G48-2601		hypothetical protein	
G1G48-4229-MONOMER	G1G48-4229	Q5LKX1	sugar ABC transporter ATP-binding protein	
G1G48-2823-MONOMER	G1G48-2823	Q5LPS6	hypothetical protein	
G1G48-4042-MONOMER	G1G48-4042	Q5LLE3	hypothetical protein	
G1G48-456-MONOMER	G1G48-456	Q5LW93	nicotinate-nicotinamide nucleotide adenylyltransferase	
G1G48-1038-MONOMER	G1G48-1038	Q5LUM4	hypothetical protein	
G1G48-1818-MONOMER	G1G48-1818	Q5LSI6	hypothetical protein	
G1G48-891-MONOMER	G1G48-891	Q5LV22	hypothetical protein	
G1G48-1104-MONOMER	G1G48-1104	Q5LUG9	hypothetical protein	
G1G48-1260-MONOMER	G1G48-1260	Q5LU23	hypothetical protein	
G1G48-2609-MONOMER	G1G48-2609	Q5LQC7	ribosome small subunit-dependent GTPase A	
G1G48-3748-MONOMER	G1G48-3748	Q5LM73	fumarylacetoacetase	
G1G48-3947-MONOMER	G1G48-3947	Q5LLN7	murein transglycosylase	
G1G48-681-MONOMER	G1G48-681		nucleotidyltransferase	
G1G48-3617-MONOMER	G1G48-3617		sulfoacetaldehyde acetyltransferase	
G1G48-1893-MONOMER	G1G48-1893	Q5LSB2	hypothetical protein	
G1G48-1832-MONOMER	G1G48-1832	Q5LSH2	formate dehydrogenase	
G1G48-4167-MONOMER	G1G48-4167	Q5LL32	thiol:disulfide interchange protein	
G1G48-3668-MONOMER	G1G48-3668	Q5LMF2	hypothetical protein	
G1G48-1707-MONOMER	G1G48-1707		tRNA(5-methylaminomethyl-2-thiouridine)- methyltransferase	
G1G48-1247-MONOMER	G1G48-1247	Q5LU34	hypothetical protein	
G1G48-1962-MONOMER	G1G48-1962		hypothetical protein	
G1G48-1942-MONOMER	G1G48-1942	Q5LS62	hypothetical protein	
G1G48-1702-MONOMER	G1G48-1702	Q5LSU4	beta-hydroxyacyl-ACP dehydratase	
G1G48-544-MONOMER	G1G48-544		ribonuclease P protein component	
G1G48-2846-MONOMER	G1G48-2846	Q5LPQ1	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	
G1G48-1087-MONOMER	G1G48-1087	Q5LUI6	hypothetical protein	
G1G48-3271-MONOMER	G1G48-3271	Q5LNI3	hypothetical protein	
G1G48-2633-MONOMER	G1G48-2633	Q5LQA5	N-acetylmuramoyl-L-alanine amidase	
G1G48-3221-MONOMER	G1G48-3221	Q5LNN2	hypothetical protein	
G1G48-1756-MONOMER	G1G48-1756	Q5LSP5	TRAP transporter permease DctQ	
G1G48-1991-MONOMER	G1G48-1991	Q5LS17	DNA-binding response regulator	
G1G48-1821-MONOMER	G1G48-1821	Q5LSI3	sulfonate ABC transporter ATP-binding lipoprotein	
G1G48-1307-MONOMER	G1G48-1307	Q5LTY1	DUF2063 domain-containing protein	
G1G48-2053-MONOMER	G1G48-2053		hypothetical protein	
G1G48-3965-MONOMER	G1G48-3965	Q5LLK2	hypothetical protein	
G1G48-3083-MONOMER	G1G48-3083	Q5LP19	glucose-6-phosphate dehydrogenase	
G1G48-4183-MONOMER	G1G48-4183	Q5LL17	nitric oxide reductase F protein	
G1G48-612-MONOMER	G1G48-612	Q5LVU1	hypothetical protein	
G1G48-1241-MONOMER	G1G48-1241	Q5LU40	integrase	
G1G48-2927-MONOMER	G1G48-2927	Q5LPH0	hypothetical protein	
G1G48-2399-MONOMER	G1G48-2399	Q5LQX3	choline dehydrogenase	
G1G48-1196-MONOMER	G1G48-1196	Q5LU81	hypothetical protein	
G1G48-2467-MONOMER	G1G48-2467	Q5LQR4	L-idonate 5-dehydrogenase	
G1G48-3757-MONOMER	G1G48-3757	Q5LM64	benzoyl-CoA-dihydrodiol lyase	
G1G48-3260-MONOMER	G1G48-3260	Q5LNJ4	DUF3429 domain-containing protein	
G1G48-2963-MONOMER	G1G48-2963	Q5LPD3	acyl-CoA dehydrogenase	
G1G48-531-MONOMER	G1G48-531	Q5LW19	hypothetical protein	
G1G48-1142-MONOMER	G1G48-1142	Q5LUD2	hypothetical protein	
G1G48-4026-MONOMER	G1G48-4026	Q5LLF8	amino acid ABC transporter	
G1G48-4328-MONOMER	G1G48-4328	Q5LKN0	hypothetical protein	
G1G48-1656-MONOMER	G1G48-1656	Q5LSZ0	DNA-binding response regulator	
G1G48-2203-MONOMER	G1G48-2203	Q5LRG3	cysteine desufuration protein SufE	
G1G48-84-MONOMER	G1G48-84	Q5LWM8	3'-5' exonuclease	
G1G48-4111-MONOMER	G1G48-4111	Q5LL87	glutamine--fructose-6-phosphate aminotransferase	
G1G48-3979-MONOMER	G1G48-3979	Q5LLJ6	cytochrome c5	
G1G48-365-MONOMER	G1G48-365	Q5LXF0	succinate dehydrogenase, cytochrome b556 subunit	
G1G48-2660-MONOMER	G1G48-2660	Q5LQ81	alkene reductase	
G1G48-3424-MONOMER	G1G48-3424		hypothetical protein	
G1G48-2221-MONOMER	G1G48-2221		iron ABC transporter permease	
G1G48-2488-MONOMER	G1G48-2488		Bcr/CflA family drug resistance efflux transporter	
G1G48-1912-MONOMER	G1G48-1912	Q5LS92	N-acetyl-gamma-glutamyl-phosphate reductase	
G1G48-1095-MONOMER	G1G48-1095	Q5LUH8	SLC13 family permease	
G1G48-1973-MONOMER	G1G48-1973	Q5LS35	branched-chain amino acid ABC transporter permease	
G1G48-2819-MONOMER	G1G48-2819	Q5LPT0	hypothetical protein	
G1G48-1517-MONOMER	G1G48-1517	Q5LTC8	hypothetical protein	
G1G48-3700-MONOMER	G1G48-3700	Q5LMC0	membrane protein	
G1G48-2310-MONOMER	G1G48-2310	Q5LR58	N-acetyltransferase	
G1G48-2696-MONOMER	G1G48-2696	Q5LQ45	glycosyl transferase family 2	
G1G48-2192-MONOMER	G1G48-2192	Q5LRH4	LexA repressor	
G1G48-2672-MONOMER	G1G48-2672	Q5LQ69	TRAP transporter permease DctQ	
G1G48-593-MONOMER	G1G48-593	Q5LVV9	acyl carrier protein	
G1G48-2135-MONOMER	G1G48-2135	Q5LRM8	hypoxanthine phosphoribosyltransferase	
G1G48-33-MONOMER	G1G48-33	Q5LWI7	LysR family transcriptional regulator	
G1G48-3194-MONOMER	G1G48-3194	Q5LNQ9	hypothetical protein	
G1G48-1884-MONOMER	G1G48-1884	Q5LSC1	fatty-acid--CoA ligase	
G1G48-4278-MONOMER	G1G48-4278	Q5LKS4	hypothetical protein	
G1G48-1613-MONOMER	G1G48-1613	Q5LT33	ferredoxin--NADP(+) reductase	
G1G48-3031-MONOMER	G1G48-3031	Q5LP67	tRNA-specific adenosine deaminase	
G1G48-1285-MONOMER	G1G48-1285	Q5LU03	glutathione S-transferase	
G1G48-3212-MONOMER	G1G48-3212	Q5LNP1	ATP synthase subunit beta	
G1G48-1158-MONOMER	G1G48-1158	Q5LUB6	AsnC family transcriptional regulator	
G1G48-673-MONOMER	G1G48-673	Q5LVN7	peptide ABC transporter ATP-binding protein	
G1G48-670-MONOMER	G1G48-670	Q5LVP0	peptide ABC transporter substrate-binding protein	
G1G48-3156-MONOMER	G1G48-3156	Q5LNU7	tRNA(Ile)-lysidine synthetase	
G1G48-3008-MONOMER	G1G48-3008	Q5LP88	NADPH:quinone oxidoreductase	
G1G48-2012-MONOMER	G1G48-2012		LuxR family transcriptional regulator	
G1G48-3881-MONOMER	G1G48-3881	Q5LLV0	ornithine cyclodeaminase	
G1G48-850-MONOMER	G1G48-850		chain-length determining protein	
G1G48-1199-MONOMER	G1G48-1199	Q5LU78	cell division protein FtsL	
G1G48-1662-MONOMER	G1G48-1662	Q5LSY4	membrane protein	
G1G48-3862-MONOMER	G1G48-3862		hypothetical protein	
G1G48-1144-MONOMER	G1G48-1144	Q5LUD0	lipoprotein-releasing system ATP-binding protein LolD	
G1G48-3242-MONOMER	G1G48-3242	Q5LNL1	LysR family transcriptional regulator	
G1G48-457-MONOMER	G1G48-457	Q5LW92	membrane protein	
G1G48-714-MONOMER	G1G48-714	Q5LVJ7	peptide ABC transporter permease	
G1G48-2913-MONOMER	G1G48-2913	Q5LPI4	precorrin-3B synthase	
G1G48-1597-MONOMER	G1G48-1597	Q5LT49	CoA ester lyase	
G1G48-1084-MONOMER	G1G48-1084	Q5LUI9	hypothetical protein	
G1G48-889-MONOMER	G1G48-889	Q5LV24	glycine cleavage system protein H	
G1G48-166-MONOMER	G1G48-166	Q5LWV9	oxidoreductase	
G1G48-350-MONOMER	G1G48-350	Q5LXC7	2-oxoglutarate dehydrogenase subunit E1	
G1G48-2119-MONOMER	G1G48-2119	Q5LRP4	RNA-binding protein Hfq	
G1G48-795-MONOMER	G1G48-795	Q5LVB7	2-dehydro-3-deoxygalactonokinase	
CPLX1G48-44			predicted ABC transporter of a C4-dicarboxylate	
G1G48-527-MONOMER	G1G48-527	Q5LW23	amino acid ABC transporter permease	
G1G48-4400-MONOMER	G1G48-4400	Q5LKF8	TetR family transcriptional regulator	
G1G48-1479-MONOMER	G1G48-1479		acetyl-CoA acetyltransferase	
G1G48-3378-MONOMER	G1G48-3378	Q5LN86	cupin	
G1G48-2524-MONOMER	G1G48-2524		EamA family transporter	
G1G48-4143-MONOMER	G1G48-4143	Q5LL55	hypothetical protein	
G1G48-1850-MONOMER	G1G48-1850	Q5LSF5	acetyl-coenzyme A synthetase	
G1G48-1861-MONOMER	G1G48-1861	Q5LSE4	LysR family transcriptional regulator	
G1G48-2953-MONOMER	G1G48-2953	Q5LPE4	multifunctional 2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'-nucleotidase/3'-nucleotidase	
G1G48-1212-MONOMER	G1G48-1212	Q5LU65	tautomerase	
G1G48-4329-MONOMER	G1G48-4329	Q5LKM9	aspartate aminotransferase family protein	
G1G48-3248-MONOMER	G1G48-3248	Q5LNK5	ribonuclease 3	
G1G48-3712-MONOMER	G1G48-3712	Q5LMA8	MFS transporter	
G1G48-2886-MONOMER	G1G48-2886	Q5LPL2	transcriptional regulator	
G1G48-1927-MONOMER	G1G48-1927	Q5LS77	cytochrome C biogenesis protein CcmE	
G1G48-2295-MONOMER	G1G48-2295	Q5LR73	tail protein	
G1G48-369-MONOMER	G1G48-369		hypothetical protein	
G1G48-3103-MONOMER	G1G48-3103	Q5LNZ8	hypothetical protein	
G1G48-1836-MONOMER	G1G48-1836		molybdopterin-guanine dinucleotide biosynthesis protein MobA	
G1G48-1345-MONOMER	G1G48-1345	Q5LTU6	nitrile hydratase accessory protein	
G1G48-1352-MONOMER	G1G48-1352	Q5LTT9	L-serine ammonia-lyase	
G1G48-102-MONOMER	G1G48-102	Q5LWP6	ABC transporter substrate-binding protein	
G1G48-380-MONOMER	G1G48-380		ATPase	
G1G48-1934-MONOMER	G1G48-1934	Q5LS70	class I fructose-bisphosphate aldolase	
G1G48-1414-MONOMER	G1G48-1414		hypothetical protein	
G1G48-1165-MONOMER	G1G48-1165	Q5LUA9	C4-dicarboxylate ABC transporter permease	
G1G48-3977-MONOMER	G1G48-3977	Q5LLM3	alanine racemase	
G1G48-1880-MONOMER	G1G48-1880	Q5LSC5	glucosamine--fructose-6-phosphate aminotransferase	
G1G48-4071-MONOMER	G1G48-4071		aldehyde dehydrogenase	
G1G48-565-MONOMER	G1G48-565	Q5LVY6	peptide ABC transporter permease	
G1G48-2534-MONOMER	G1G48-2534	Q5LQJ7	50S ribosomal protein L32	
G1G48-211-MONOMER	G1G48-211	Q5LWZ7	dehydrogenase	
G1G48-3140-MONOMER	G1G48-3140	Q5LNW3	type II/IV secretion system protein	
G1G48-3980-MONOMER	G1G48-3980	Q5LLJ5	TetR family transcriptional regulator	
G1G48-3978-MONOMER	G1G48-3978	Q5LLJ7	oxidoreductase FAD-binding	
G1G48-2526-MONOMER	G1G48-2526		anhydro-N-acetylmuramic acid kinase	
G1G48-2151-MONOMER	G1G48-2151		hypothetical protein	
G1G48-143-MONOMER	G1G48-143	Q5LWU5	hypothetical protein	
G1G48-2859-MONOMER	G1G48-2859	Q5LPN9	amidohydrolase	
G1G48-75-MONOMER	G1G48-75	Q5LWL9	hypothetical protein	
G1G48-433-MONOMER	G1G48-433	Q5LWB6	NAD+ synthase	
G1G48-3432-MONOMER	G1G48-3432	Q5LN32	gamma-butyrobetaine dioxygenase	
G1G48-2652-MONOMER	G1G48-2652	Q5LQ88	glutamine synthetase	
G1G48-622-MONOMER	G1G48-622	Q5LVT1	transcriptional regulator	
G1G48-153-MONOMER	G1G48-153		chromosomal replication initiation protein DnaA	
G1G48-2483-MONOMER	G1G48-2483		peptidase M24	
G1G48-4133-MONOMER	G1G48-4133	Q5LL65	C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-2419-MONOMER	G1G48-2419	Q5LQV6	selenium-binding protein	
G1G48-2219-MONOMER	G1G48-2219	Q5LRE9	ABC transporter ATP-binding protein	
G1G48-2972-MONOMER	G1G48-2972		hypothetical protein	
G1G48-1405-MONOMER	G1G48-1405	Q5LTN9	pyrimidine 5'-nucleotidase	
G1G48-3259-MONOMER	G1G48-3259	Q5LNJ5	amino acid transporter LysE	
G1G48-192-MONOMER	G1G48-192	Q5LWY2	sensor histidine kinase	
G1G48-3420-MONOMER	G1G48-3420	Q5LN44	aldehyde dehydrogenase	
G1G48-551-MONOMER	G1G48-551		hypothetical protein	
G1G48-3800-MONOMER	G1G48-3800	Q5LM23	peptide-methionine (R)-S-oxide reductase	
G1G48-3201-MONOMER	G1G48-3201	Q5LNQ2	haloacid dehalogenase	
G1G48-1355-MONOMER	G1G48-1355	Q5LTT6	MarR family transcriptional regulator	
G1G48-1576-MONOMER	G1G48-1576	Q5LT70	peptide ABC transporter permease	
G1G48-2789-MONOMER	G1G48-2789		D-alanyl-D-alanine carboxypeptidase	
G1G48-3466-MONOMER	G1G48-3466	Q5LMZ8	hypothetical protein	
G1G48-836-MONOMER	G1G48-836	Q5LV76	hypothetical protein	
G1G48-2327-MONOMER	G1G48-2327	Q5LR41	hypothetical protein	
G1G48-1627-MONOMER	G1G48-1627	Q5LT19	mandelate racemase	
G1G48-3475-MONOMER	G1G48-3475	Q5LMY9	co-chaperone YbbN	
G1G48-1794-MONOMER	G1G48-1794	Q5LSK8	riboflavin synthase	
G1G48-1938-MONOMER	G1G48-1938	Q5LS66	aryl-sulfate sulfotransferase	
G1G48-377-MONOMER	G1G48-377	Q5LXF6	crotonyl-CoA carboxylase/reductase	
G1G48-3018-MONOMER	G1G48-3018	Q5LP79	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	
G1G48-1422-MONOMER	G1G48-1422	Q5LTM3	thioredoxin	
G1G48-3168-MONOMER	G1G48-3168	Q5LNT5	hypothetical protein	
G1G48-3344-MONOMER	G1G48-3344	Q5LNB8	branched-chain amino acid ABC transporter permease	
G1G48-3656-MONOMER	G1G48-3656		hypothetical protein	
G1G48-1079-MONOMER	G1G48-1079	Q5LUJ4	hypothetical protein	
G1G48-4261-MONOMER	G1G48-4261		AraC family transcriptional regulator	
G1G48-188-MONOMER	G1G48-188	Q5LWY6	tripartite tricarboxylate transporter TctA	
G1G48-2675-MONOMER	G1G48-2675	Q5LQ66	two-component sensor histidine kinase	
G1G48-3788-MONOMER	G1G48-3788	Q5LM35	HlyD family type I secretion periplasmic adaptor subunit	
G1G48-2962-MONOMER	G1G48-2962	Q5LPD4	MerR family transcriptional regulator	
G1G48-3670-MONOMER	G1G48-3670	Q5LMF0	lysine transporter LysE	
